nome;referencia;preco_unitario;desconto_unitario;descricao
Kit 2 X Spray Listerine Pocketmist Contra Mau Hálito Menta;MLB3798447355;155,99;0,00;
Leg Stretch Machine, Esticador de Perna para Dançarinos, Máquina de Alongamento de Pernas, Máquina Dividida para Flexibilidade, Máquina de Divisão Profissional;B0DGSRYFHC;1299,99;0,00;
LIXEIRA COZINHA AUTOMATICA SENSOR ACO INOX 50 LITROS PREMIUM LIX-009;LIX-009;489,92;0,00;
Lixeira Sensor Autom�tica Banheiro Cozinha Lixo Inteligente Cinza;LK2115;115,00;0,00;s_1374391238438
Maquina De Contar Dinheiro Cedulas Detecta Nota Falsa Bivolt;MYC-03;488,00;0,00;xPed:2000011751589418 Total aproximado de tributos federais, estaduais e municipais: R$180,56
Maquina De Contar Dinheiro Cédulas Detecta Nota Falsa 127/220v;MLB5379013340;4,88;0,00;
Massa Restauração Dente, Tampa Buraco Dental. Provisórios;MLB3798447355;21,90;0,00;
Micro-ondas Panasonic NN-ST27LWRUK 21 Litros Branco 220V;616851;627,64;0,00;xPed:2000010303980766 Total aproximado de tributos federais, estaduais e municipais: R$311,31
Microfone de lapela sem fio BOYA Omic-U para iPhone 15/Android, USB tipo C, microfone de lapela para Stream gravação de vídeo;B0CXSW72C7;556,70;0,00;
Mini ar;MLB3861851307;48,81;0,00;xPed:2000010321936302 Total aproximado de tributos federais, estaduais e municipais: R$15,35
Mini Câmera Espiã Controle Remoto + Cartão 64gb;MLB3798447355;5,70;0,00;Cor: Preto
Miniatura F1 Capacete Ayrton Senna Campeão 1991 1/8;MLB3807519569;285,95;113,95;Cor: AYRTON SENNA TRI CAMPEAO 1991 1/8
MODUS Balanca De Cozinha Alta Precisao Digital Joias Temperos;2014;144,32;0,00;
Modus Mini Balança Digital Alta Precisão 0,01g Até 50g;MLB5103708166;144,32;21,57;
Monitor de Áudio EDIFIER M60 66W RMS Hi-res (Branco);B0D95R2PXM;1599,00;0,00;
Máscara Ninja Máscara De Caveira À Prova De Poeira E Vento;MLB5103708166;43,69;2,30;Cor: máscara de caveira Tamanho: Um tamanho serve para todos
Novidade Lâmpada Decorativa Led Efeito 3d St64;MLB3571175113;68,70;0,00;
Océane Máscara Facial com Vitamina C - Serum Face Mask 20ml;B08B2J9C4T;16,19;0,00;
Oral-B Escova Elétrica iO Série 9 com 3 Cabeças de Escova de Substituição, Preta;B088CK6XJ4;2184,76;0,00;
Pacote De Edição Digital Sony Playstation 5 Ps5 Slim De 1 Tb Para Console Ratchet & Clank Rift Apart  Returnal;MLB3798447355;34,65;4572,39;
Par De Mini Espelho Retrovisor Redondo Scooter Elétrica Bike Preto;MLB3687016661;49,99;0,00;
Philips Lâmina Qp220/51 Oneblade Embalagem Com 2 Laminas;MLB4608547860;124,90;0,00;
Philips Lâmina Qp220/51 Oneblade Embalagem Com 2 Laminas;MLB4392830072;124,90;0,00;
Polares T10pro Patinete Elétrico Com Banco 800 Watts Polares Scooter Até 35km De Autonomia Velocidade Máxima Até 45km/h Preto;MLB5677007786;3509,98;2490,00;
Poltrona Egg Capitonê Encapado Ou De Strass Pés Giratórios;MLB1254478697;5,57;0,00;Botões: Strass Cor: Suede Vermelho Desenho do tecido: Liso
Prendedor Fixador Batedor Trava Porta Magnetico Adesivo 3m Cor Preto;MLB3798447355;71,88;32,32;
Probiótico 100 Bilhões 30 Cápsulas - Now Foods Probiotic-10 Sabor Não Aplicável;MLB3587757783;264,88;0,00;
Protetor Anti Impacto Proteção Parede Batida Porta Móveis;MLB3798447355;38,67;6,83;
Quntis Barra de Luz para Monitor PRO+ com Controle Remoto, adequada para monitor curvo/plano, cuidados com os olhos, luz de tela regulável com escurecimento automático, sem reflexo;B0B6P9J3J5;313,00;0,00;
Refil Gel Limpeza Effaclar Concentrado 240g La Roche-posay;MLB3587757783;59,90;0,00;
Respiron Athletic 2  Exercitador Respiratório;MLB3587757783;42,78;0,00;
Ringlinght Profissional Tripe Grande Estudio Led Profissiona;MLB4973916920;268,38;51,12;Cor da estrutura: Preto Cor da luz: Branco
SmallRig Tela de monitor de selfie Vlog para celular para iPhone para Huawei para S24/S25, com suporte magnético para celular e controle remoto sem fio, câmera traseira de sincronização para selfie;B0F1YF2JHZ;391,38;0,00;
Smartwatch Huawei Gt 5 46mm 1,43 Sharp-edged Design, Ip69k, Ate 2 Semanas De Bateria, Compativel Com Ios E Android, Gp;ITE04947;1519,30;0,00;xPed:2000010290744290 Total aproximado de tributos federais, estaduais e municipais: R$567,15
Suporte Base Dock Carregador 2 Controles Com Led Ps5 Rápido;MLB3528907883;56,35;0,00;
Suporte Celular Articulado Moto Bikes Patinete Ergométrica;MLB3687016661;21,90;0,00;Cor: Preto
Termômetro Digital Aquário Terrário Estufa Piscina Adega Cor Preto;MLB3798447355;27,29;0,00;
Testador De Diamante Brilhante Selector 2 - Importado;MLB779090228;139,95;0,00;
Teste De Ouro - Pedra Grd + Ácido 18k + Balança 500g + Lupa;MLB3558621677;109,60;0,00;
Travesseiro Duoflex Nasa Regulável - Duoflex;MLB3587757783;2,22;231,47;Cor: Branco
Travesseiro Relaxante Zen Sleep Lavanda Com Óleo Essencial;MLB3571175113;217,41;32,49;Cor: Lavanda
Tripe Profissional Semi-Hidraulica 180cm Para Cameras E Celulares Ideal Para Estabilizar Videos E Fotos - Com Tres Monopes Com Trava;B0C5NNLB31;126,00;0,00;
TSYUCXH Almofadas Auriculares De Reposição Para Fones Ouvido Airpods Max, Atualizadas, 2024, Capa Tecido Malha Com Espuma Viscoelástica E Ímã + Tpu Macio (Azul);B0DKBCHL33;151,33;0,00;
ULANZI MA30 Magnetic Phone Tripod Stand for iPhone - Aluminium Maglock Smartphone Mini Tripod Pocket Cell Phone Stand Dual-Sided Magnet Quick Mount;B0DDTKHX31;175,98;0,00;
Ulanzi VL119 Luz de Vídeo RGB LED, 10W, Bateria Embutida 3000mAh, 2500K-9000K, 20 Efeitos de Cena, Luz de Gravação Magnética com Haste LED para Câmeras e Smartphones;B0DKJ6QY4X;152,99;0,00;
ULANZI VL49 RGB LUZ DE VÍDEO, Iluminação LED 360° Full Color Portátil com 3 Calços Frios, Bateria 2000mAh Recarregável CRI 95+ 2500-9000K Ajustável + Fixação Magnética;B08MDQ3CJY;113,05;0,00;
YAMASORO Cadeira Presidente Ergonomica Cadeira Escritorio Presidente Apoio de Cabeça Ajustável e Ângulo do Apoio Lombar Ajustável com Base Cromada, High-back Branca;B0D1CCKQX3;1699,99;0,00;
Zenai - Kit Ventosa Com 18 Copos e Bomba de Alta Sucção Ventosaterapia Massoterapia;B0C1LMHXWX;189,90;0,00;
Águia Estatueta Resina Estátua Decoração Premium;MLB904775882;149,31;30,59;Cor: Dourada
Óleo Essencial Breathe 15ml;MLB3587757783;165,39;10,56;
Óleo Essencial De Lavanda 100% Puro Via Aroma 2unidades;MLB3587757783;47,99;2,53;
Óleo Essencial Lemon - Limão Siciliano 15ml;MLB3587757783;74,21;4,74;
Óleo Essencial Rosemary - Alecrim 15ml;MLB3587757783;123,23;10,72;
